id,brand,x,y,name,category,likes,talking
280,Jacksonville_Jaguars,-19.46985359,-0.865534352,Jacksonville_Jaguars,Professional_sports_team,282826,22191
281,jcpenney,-12.84236807,30.48764212,jcpenney,Retail_and_consumer_merchandise,2705808,12913
282,Jennifer_Lopez,21.15205584,3.040721636,Jennifer_Lopez,Musician_band,13989545,358395
283,Jersey_Shore,6.495216681,13.49972952,Jersey_Shore,Tv_show,17914107,312628
284,Memphis_Grizzlies,-20.64132976,4.565800876,Gardner_Denver_Products,Commercial_equipment,221,0
284,Memphis_Grizzlies,-20.64132976,4.565800876,Memphis_Grizzlies,Professional_sports_team,174653,2100
285,Jimmy_Dean_Sausage,-12.39046313,33.67872328,Jimmy_Dean_Sausage,Product_service,236302,456
286,Brooklyn_Nets,-17.76985136,4.828846182,Brooklyn_Nets,Professional_sports_team,276728,10203
287,Jordan,-18.99983114,5.971704144,Jordan,Product_service,2009080,87012
288,Justin_Bieber,25.2478106,-2.606952882,Justin_Bieber,Musician_band,44915469,644478
289,New_York_Knicks,-16.55881809,6.174552393,New_York_Knicks,Professional_sports_team,2767827,122333
290,Oklahoma_City_Thunder,-19.56293508,4.27724342,Oklahoma_City_Thunder,Professional_sports_team,1349134,306406
291,Utah_Jazz,-15.8362838,3.700065606,Utah_Jazz,Professional_sports_team,341711,6549
