id,brand,x,y
498,Acuvue,21.93418779,-8.410307272
499,Adamari_Lopez,34.36729077,10.28502594
500,Carole_King,-3.685681418,-21.74186465
501,Carolina_Girl_Apparel,-27.74558482,3.260532808
502,Carolina_Hurricanes,-21.67567201,-1.530298925
503,Adam_Carolla,4.622581211,-23.68468378
504,Adam_West,-1.612646588,-3.889732792
505,A_Day_To_Remember,16.58350133,-20.48822063
506,Adele,22.91065787,2.538082187
507,Carol_s_Daughter,14.73812612,12.98505236
508,Adobe_After_Effects,-2.00242264,-39.67432154
509,Adobe_Flash,-1.522537516,-39.68393399
510,Carowinds_Amusement_Park,-9.859532662,-0.980830971
511,Adobe_Illustrator,-2.080142813,-39.62367137
512,Carrabba_s_Italian_Grill,-7.885377945,-0.024457604
513,Carrie_Underwood,-18.38443818,-23.40847416
514,Adobe_Photoshop_Lightroom,-2.443157675,-39.27158353
515,Cars,17.9230082,-5.462025995
516,Carson_Dellosa_Publishing_Company,-11.33160574,21.63225387
517,Adobe_Photoshop,-2.434960403,-39.60040286
518,Car_Talk,-2.344186027,-23.73985385
519,Carter_s,-16.2310393,24.09902134
520,A_Dog_s_Purpose,-10.34288559,-10.2378334
521,Cartoon_Network,18.9000929,-11.89320104
522,Carytown,-3.558173851,-20.4346338
523,Adult_Swim,7.407590823,-26.22990718
524,Cascadian_Farm,-7.793848959,18.36846015
525,Adventure_Aquarium,-16.81479784,15.45471501
526,Cash_Cab,-3.579133985,0.278004632
527,Casting_Crowns,-27.53585146,22.50799361
528,Adventure_Suites,4.648401426,-0.665645012
529,Adventure_Time,18.55159832,-12.21081481
530,AdvoCare,-6.100677034,14.23209591
531,Cataloochee_Ski_Area,-26.57595823,2.824838144
532,Catherine_Coulter,-17.32761406,-25.13346464
533,Catherines_Plus_Sizes,-2.62308772,6.142983199
534,Aerie,5.521835531,27.42552319
535,Aerosmith,10.00998885,-14.70686126
536,Cato_Fashions,-4.051830777,4.730637418
537,Cavo,10.10764201,-14.53723959
538,CBS_Philly,-16.15903855,15.28554355
539,A_E_Television_Network,-8.4108097,-8.466088989
540,AFFLICTION,5.913005431,-9.454496618
541,CBS_Denver,-13.39128252,-1.955780611
542,AFI,17.03498195,-19.18117128
543,A_Fine_Frenzy,6.709921408,-22.76284039
544,Aflac_Duck,-5.099061517,-0.3272643
545,CBS_News,-8.417513231,-17.77582753
546,Aiden,17.06307092,-19.79307724
547,AIM,18.83390169,-8.104170673
548,Ainsley_Earhardt,-26.3267232,-17.11031963
549,Aion,10.2572291,-32.36574402
550,Airsoft_GI,14.48501143,-33.13382311
551,Airsoft,14.4749632,-33.13444412
552,AirSplat,14.49519633,-33.13606334
553,AJ_Rafael,24.73044049,-12.81488104
554,AKIRA_Chicago,2.319114895,28.44193459
555,Cebu_Pacific_Air_Fare_Promos,20.66844378,20.92467152
556,AKON,26.13671945,3.49339191
557,Cedar_Point,-20.72278119,11.56130761
558,Akoo,21.63406467,-8.200783739
559,Akron_Zoo,-20.39051728,12.08262592
560,CeeLo_Green,2.573681288,1.725569497
561,Celebration_Cinema,-10.50807392,2.455020683
562,Alabama_Crimson_Tide_BCS_Bowl_Game_Information,-29.43364112,5.520700008
563,Alabama_Crimson_Tide,-29.29553321,5.377707427
564,Alabama_Football_on_SDS,-29.22413287,5.329335369
565,Alabama_Gulf_Coast,-28.84313312,4.655288222
566,Celebrity_Rehab_with_Dr_Drew,5.146243376,14.91918154
567,Celine_Dion,21.97193456,22.83109431
